GeneID	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15	Sample_16	Sample_17	Sample_18	Sample_19	Sample_20
Gene_1	-5.32186	-5.2621	-5.17404	-5.71077	-5.03411	-5.28986	-5.09057	-5.16556	-5.26943	-5.0865	-5.35382	-4.92378	-4.9913	-5.45287	-5.43424	-5.01035	-5.04238	-5.30111	-4.90446	-4.66544
Gene_2	-11.263	-11.3992	-11.8949	-11.2432	-11.1487	-11.2868	-11.7264	-11.7047	-11.3543	-11.2519	-11.4657	-11.7186	-11.6959	-11.3254	-11.309	-11.525	-11.5988	-11.5043	-11.4667	-11.6541
Gene_3	-10.4161	-10.6916	-10.8418	-10.2721	-10.5547	-10.9951	-10.5312	-10.6112	-10.8894	-10.6394	-10.6486	-10.494	-10.6231	-10.8719	-10.265	-10.4145	-10.2674	-11.1349	-10.6356	-10.6348
Gene_4	-11.637	-11.6594	-11.7785	-11.8281	-11.694	-11.78	-11.9393	-11.8939	-12.0052	-11.8336	-12.0372	-12.0399	-12.1118	-12.2091	-11.8589	-11.8264	-11.737	-12.2146	-11.7928	-11.7263
Gene_5	-11.1842	-10.844	-11.1083	-11.537	-11.3701	-11.5203	-10.9335	-11.2296	-11.6701	-11.323	-11.9537	-11.7788	-11.1937	-11.5134	-11.1104	-11.0853	-11.1811	-11.4458	-11.3306	-11.1276
Gene_6	-14.6231	-14.0377	-14.0968	-14.7225	-14.4752	-14.203	-14.6005	-14.0205	-14.4002	-14.3144	-14.5632	-13.8888	-14.462	-14.3359	-14.0881	-14.3298	-14.2358	-14.5679	-14.5025	-14.0135
Gene_7	-15.679	-15.9268	-15.5489	-15.3549	-15.7069	-16.3762	-15.7788	-15.7517	-15.7698	-14.8968	-15.8449	-15.5294	-15.9788	-16.209	-15.8225	-16.0701	-16.2476	-15.8891	-15.9731	-15.0972
Gene_8	-11.4167	-11.0732	-11.6118	-11.3786	-11.7223	-11.5196	-11.2606	-11.2887	-11.4283	-11.5382	-11.5771	-11.4591	-11.5723	-11.8563	-11.5864	-11.1998	-11.1881	-11.9581	-11.6858	-10.9766
Gene_9	-19.3684	-19.1996	-19.2098	-19.2264	-19.1985	-19.1634	-19.146	-17.1158	-19.0994	-19.2221	-18.3474	-19.1409	-19.1731	-19.1558	-19.1167	-19.2096	-18.2008	-19.3376	-19.3385	-19.1726
Gene_10	-11.0175	-10.5715	-11.0005	-10.9743	-10.9271	-11.4825	-11.3635	-10.8253	-11.5197	-10.6374	-11.4221	-11.2115	-11.1778	-11.2877	-11.2841	-10.5149	-11.4326	-11.5182	-11.1585	-10.7597
