GeneID	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6
Gene_1	-7.57415	-7.20925	-7.23368	-7.27476	-7.08447	-8.08106
Gene_2	-9.72199	-9.98277	-9.65336	-9.76164	-9.90809	-9.43164
Gene_3	-9.31839	-9.25433	-9.2762	-8.95967	-9.38346	-9.21643
Gene_4	-15.4851	-15.4851	-15.4851	-15.4851	-15.4851	-15.4851
Gene_5	-8.39504	-8.80353	-8.82696	-8.53405	-8.45476	-8.61019
Gene_6	-11.5323	-11.3556	-11.3807	-11.2832	-11.4262	-11.2856
Gene_7	-13.5595	-13.9876	-13.9595	-13.6757	-14.12	-13.5236
Gene_8	-15.0379	-15.0379	-15.0379	-15.0379	-15.0379	-15.0379
Gene_9	-12.5167	-12.8374	-12.8643	-12.8771	-12.8354	-12.5247
Gene_11	-9.51547	-9.2387	-9.31036	-9.52645	-9.39555	-9.58277
Gene_12	-12.578	-12.4225	-12.7277	-12.2922	-12.385	-12.2904
Gene_13	-14.5027	-13.8976	-13.3177	-13.7749	-13.9726	-13.5948
Gene_14	-15.4351	-15.4351	-15.4351	-15.4351	-15.4351	-15.4351
Gene_15	-13.517	-14.1943	-14.1953	-14.2859	-13.9833	-14.1772
Gene_16	-9.42052	-9.51517	-9.15655	-9.11166	-9.45303	-9.45605
Gene_17	-18.9396	-18.7305	-18.8063	-18.1332	-18.8757	-16.6132
Gene_18	-12.1126	-11.8967	-12.0197	-11.4491	-12.3117	-11.8254
Gene_19	-13.8555	-13.8555	-13.8555	-13.8555	-13.8555	-13.8555
Gene_20	-12.0417	-12.4517	-12.3357	-12.1426	-12.3586	-11.8628
Gene_21	-8.43134	-7.91689	-8.19342	-8.28885	-8.18144	-8.09239
Gene_22	-10.6183	-10.9949	-10.8177	-10.4814	-10.0311	-10.5874
Gene_23	-14.6602	-14.6602	-14.6602	-14.6602	-14.6602	-14.6602
Gene_24	-14.2143	-14.2143	-14.2143	-14.2143	-14.2143	-14.2143
Gene_25	-9.76765	-9.915	-9.95955	-9.68011	-9.54356	-9.70471
Gene_26	-12.0322	-11.582	-12.3489	-11.7248	-12.1365	-12.0628
Gene_27	-16.3234	-18.6301	-18.706	-18.0327	-18.7754	-18.4328
Gene_28	-11.3448	-11.0554	-10.9848	-11.0526	-10.9736	-11.4998
Gene_29	-10.2218	-10.2601	-10.2643	-10.3727	-9.9781	-9.84055
Gene_30	-12.574	-12.4333	-12.5088	-12.5065	-12.4448	-12.339
Gene_31	-13.409	-13.2138	-13.1762	-12.9618	-13.0968	-13.1164
Gene_32	-11.222	-11.6518	-11.0437	-11.7027	-11.2172	-11.7274
Gene_33	-9.70016	-9.10619	-9.64355	-9.57192	-9.30934	-9.76686
Gene_34	-1.94355	-2.2886	-1.8389	-1.99402	-2.24918	-2.23752
Gene_35	-14.1204	-14.0015	-13.8543	-14.2106	-13.9128	-14.0076
Gene_36	-12.7895	-12.646	-12.9209	-12.5704	-12.834	-12.8508
